                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.5704,                0.43745,                 1.0275,                 0.9763,                0.96251,                0.97558,                0.88825,                0.52733,                0.29888,                0.94628,               0.004918,               0.004918,               0.004918
                     80,                0.56092,                0.43449,                 1.0281,                0.98126,                0.95421,                0.97583,                0.89101,                0.52068,                0.29353,                0.94279,               0.004852,               0.004852,               0.004852
                     81,                0.56342,                0.43251,                 1.0235,                0.97965,                0.95393,                 0.9754,                0.89194,                0.51764,                0.29362,                0.93999,               0.004786,               0.004786,               0.004786
                     82,                 0.5572,                0.43425,                 1.0213,                0.97371,                0.95592,                0.97476,                0.89294,                0.51591,                0.29091,                0.94121,                0.00472,                0.00472,                0.00472
                     83,                0.55847,                0.42921,                 1.0216,                0.97227,                0.95721,                0.97481,                0.89339,                0.51854,                0.29371,                0.94436,               0.004654,               0.004654,               0.004654
                     84,                0.55273,                0.43073,                 1.0197,                0.97443,                0.95378,                0.97488,                0.89375,                0.51955,                0.29105,                0.94379,               0.004588,               0.004588,               0.004588
                     85,                0.54436,                 0.4253,                  1.016,                0.98152,                0.94935,                0.97465,                0.89416,                0.51673,                0.28975,                0.94424,               0.004522,               0.004522,               0.004522
                     86,                0.54537,                 0.4195,                 1.0165,                0.97907,                0.94958,                0.97562,                 0.8957,                0.51485,                0.29018,                0.94606,               0.004456,               0.004456,               0.004456
                     87,                0.53369,                0.41705,                 1.0105,                0.97422,                0.95345,                0.97515,                0.89595,                0.51122,                0.28792,                 0.9448,                0.00439,                0.00439,                0.00439
                     88,                0.54409,                0.41911,                 1.0153,                0.97062,                0.95942,                0.97538,                0.89716,                0.50856,                0.28357,                0.94427,               0.004324,               0.004324,               0.004324
                     89,                0.53106,                0.41382,                  1.008,                0.97805,                0.95453,                0.97546,                0.89569,                0.50716,                0.28344,                0.94362,               0.004258,               0.004258,               0.004258
                     90,                0.53747,                0.41209,                 1.0083,                0.98072,                0.95568,                 0.9757,                0.89454,                0.50739,                0.28354,                0.94344,               0.004192,               0.004192,               0.004192
                     91,                0.52866,                0.40368,                 1.0076,                0.98075,                0.95719,                0.97584,                0.89511,                0.50648,                0.28394,                0.94403,               0.004126,               0.004126,               0.004126
                     92,                0.52284,                0.40453,                0.99693,                0.98067,                0.95844,                0.97469,                0.89576,                0.50477,                0.28206,                0.94359,                0.00406,                0.00406,                0.00406
                     93,                0.52515,                 0.4114,                0.99562,                0.97746,                0.95833,                0.97511,                  0.896,                0.50381,                0.28067,                0.94194,               0.003994,               0.003994,               0.003994
                     94,                0.52409,                0.40088,                0.99665,                 0.9774,                0.95753,                0.97704,                0.89773,                0.50454,                0.27941,                0.94076,               0.003928,               0.003928,               0.003928
                     95,                0.51164,                0.39434,                0.99473,                0.98073,                0.95354,                0.97712,                0.89818,                0.50369,                0.27815,                0.93952,               0.003862,               0.003862,               0.003862
                     96,                0.50576,                0.38819,                0.98867,                0.97127,                0.96597,                0.97652,                0.89869,                0.50442,                0.27611,                0.94037,               0.003796,               0.003796,               0.003796
                     97,                0.51077,                0.38962,                0.99534,                 0.9705,                0.96604,                0.97693,                0.89952,                0.50269,                0.27413,                0.94007,                0.00373,                0.00373,                0.00373
                     98,                0.50508,                0.39201,                0.99227,                0.97122,                0.96583,                0.97717,                0.89976,                  0.503,                0.27427,                0.94116,               0.003664,               0.003664,               0.003664
                     99,                0.49483,                0.37865,                0.98537,                0.97003,                0.96587,                0.97708,                0.89951,                0.50297,                0.27564,                0.94202,               0.003598,               0.003598,               0.003598
                    100,                0.49769,                0.38453,                0.98904,                0.97569,                0.95891,                0.97702,                0.90019,                0.50351,                0.27559,                0.94305,               0.003532,               0.003532,               0.003532
                    101,                0.49662,                0.37769,                0.98775,                0.97517,                0.95981,                0.97694,                0.90017,                0.50204,                0.27739,                0.94309,               0.003466,               0.003466,               0.003466
                    102,                0.49551,                0.37941,                0.98755,                0.96928,                0.96665,                0.97672,                0.90086,                0.50232,                0.27651,                0.94433,                 0.0034,                 0.0034,                 0.0034
                    103,                0.49199,                0.37232,                0.98988,                0.96971,                0.96688,                0.97616,                0.90178,                0.50206,                0.27482,                0.94506,               0.003334,               0.003334,               0.003334
                    104,                0.48803,                  0.378,                0.98488,                0.96944,                0.96735,                0.97746,                0.90063,                0.50174,                0.27367,                0.94627,               0.003268,               0.003268,               0.003268
                    105,                0.48395,                0.36742,                0.98361,                0.96939,                 0.9673,                0.97757,                0.89968,                0.50112,                0.27427,                0.94669,               0.003202,               0.003202,               0.003202
                    106,                0.48383,                0.36858,                0.98358,                0.96968,                0.96593,                0.97772,                0.90105,                0.50076,                0.27515,                0.94677,               0.003136,               0.003136,               0.003136
                    107,                0.47974,                0.36622,                0.97489,                0.97238,                0.96058,                0.97778,                0.90236,                0.50134,                0.27428,                0.94728,                0.00307,                0.00307,                0.00307
                    108,                0.47444,                0.36437,                0.97348,                0.97878,                0.95498,                0.97777,                0.90204,                0.50132,                 0.2722,                0.94746,               0.003004,               0.003004,               0.003004
                    109,                0.47756,                0.36618,                 0.9799,                0.97142,                0.96576,                0.97675,                0.90169,                0.50124,                0.27248,                0.94786,               0.002938,               0.002938,               0.002938
                    110,                0.46478,                0.35911,                0.97075,                0.97148,                 0.9658,                0.97684,                0.90194,                0.50096,                0.27166,                0.94794,               0.002872,               0.002872,               0.002872
                    111,                0.47086,                0.35834,                0.97406,                0.97167,                0.96636,                 0.9768,                0.90243,                0.50201,                0.27028,                0.94872,               0.002806,               0.002806,               0.002806
                    112,                 0.4655,                0.35808,                0.97177,                0.97167,                0.96629,                0.97672,                0.90317,                0.50217,                0.27024,                0.94838,                0.00274,                0.00274,                0.00274
                    113,                0.46175,                0.35319,                0.97028,                0.97166,                0.96593,                0.97672,                0.90313,                 0.5021,                0.26947,                0.94923,               0.002674,               0.002674,               0.002674
                    114,                0.45824,                0.34502,                0.97374,                0.97163,                0.96463,                0.97668,                0.90324,                0.50194,                0.26848,                 0.9497,               0.002608,               0.002608,               0.002608
                    115,                0.45538,                0.35749,                0.96821,                  0.975,                0.96187,                0.97651,                0.90257,                0.50241,                0.26883,                0.95066,               0.002542,               0.002542,               0.002542
                    116,                0.45618,                0.34333,                0.96912,                0.97528,                0.96218,                0.97654,                0.90313,                0.50218,                0.26883,                0.95098,               0.002476,               0.002476,               0.002476
                    117,                0.44901,                0.34045,                0.96823,                0.97506,                0.96144,                0.97644,                0.90303,                 0.5026,                 0.2674,                0.95122,                0.00241,                0.00241,                0.00241
                    118,                0.45043,                 0.3425,                0.96358,                0.97503,                0.96221,                0.97641,                0.90339,                0.50324,                0.26763,                0.95211,               0.002344,               0.002344,               0.002344
                    119,                 0.4473,                0.33903,                0.95961,                0.97517,                0.96233,                0.97652,                0.90254,                0.50451,                0.26771,                0.95279,               0.002278,               0.002278,               0.002278
                    120,                0.43203,                0.33175,                0.94927,                0.97545,                0.96234,                 0.9764,                 0.9026,                 0.5043,                0.26662,                0.95304,               0.002212,               0.002212,               0.002212
                    121,                0.43928,                0.33618,                0.95743,                0.97548,                0.96247,                0.97629,                0.90202,                0.50453,                0.26684,                0.95306,               0.002146,               0.002146,               0.002146
                    122,                0.43555,                0.32879,                0.95211,                0.97553,                0.96279,                0.97621,                0.90226,                0.50455,                 0.2688,                0.95306,                0.00208,                0.00208,                0.00208
                    123,                0.43389,                0.33307,                 0.9551,                0.97568,                0.96263,                0.97625,                 0.9025,                0.50423,                0.26856,                0.95238,               0.002014,               0.002014,               0.002014
                    124,                0.42996,                0.32996,                0.95234,                0.97605,                0.96253,                 0.9762,                0.90214,                0.50456,                0.26843,                0.95274,               0.001948,               0.001948,               0.001948
                    125,                0.42527,                0.33178,                0.95703,                0.97624,                0.96252,                0.97627,                0.90223,                0.50442,                0.26818,                0.95278,               0.001882,               0.001882,               0.001882
                    126,                0.42486,                0.32644,                0.95386,                0.97627,                0.96276,                0.97617,                0.90246,                0.50506,                0.26846,                0.95285,               0.001816,               0.001816,               0.001816
                    127,                0.41827,                0.31609,                0.94865,                0.97662,                 0.9624,                  0.976,                0.90178,                0.50516,                0.26825,                0.95287,                0.00175,                0.00175,                0.00175
                    128,                0.41898,                 0.3206,                 0.9496,                 0.9767,                0.96226,                  0.976,                0.90178,                0.50523,                0.26897,                0.95261,               0.001684,               0.001684,               0.001684
